Component,Price per order amount,parts needed,Shipping,Total price,Links,Extra info
Pro Micro NRF52840,4.13€,2,Free,8.23€,https://www.aliexpress.com/item/1005007205026373.html?spm=a2g0o.productlist.main.8.5285a54cPOmIpa&aem_p4p_detail=202603200108531573820844269200000457052&algo_pvid=ebbbcca8-17d4-4ca8-b59a-75b1f3198b0b&algo_exp_id=ebbbcca8-17d4-4ca8-b59a-75b1f3198b0b-7&pdp_ext_f=%7B%22order%22%3A%22771%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%214.49%213.16%21%21%2134.88%2124.54%21%40211b813f17739941330401522ee8fd%2112000039797470328%21sea%21FI%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab451bb2c%3Bm03_new_user%3A-29895%3BpisId%3A5000000197850273&curPageLogUid=OxA2oroU7gov&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007205026373%7C_p_origin_prod%3A&search_p4p_id=202603200108531573820844269200000457052_2,
Kailh Low Profile Choc Switches,33.93€ for 80 switches,74,Free,33.93€,https://www.aliexpress.com/item/1005008644185126.html?spm=a2g0o.productlist.main.5.adcaQGvpQGvpZu&algo_pvid=7020f10a-7006-45f4-a42f-99f6c67908cb&algo_exp_id=7020f10a-7006-45f4-a42f-99f6c67908cb-4&pdp_ext_f=%7B%22order%22%3A%2284%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%219.09%216.67%21%21%2169.58%2151.07%21%40211b655217816346214237590eeae4%2112000046073107251%21sea%21FI%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab451bb2c%3Bm03_new_user%3A-29895%3BpisId%3A5000000206890820&curPageLogUid=ON5BcLwWvUu1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008644185126%7C_p_origin_prod%3A,
304050 Lithium-Polymer battery,8.79€ for 1 pcs,2,11.92€,29.50€,https://42keebs.eu/shop/parts/lithium-polymer-battery/?attribute_size=304050%20(600%20mAh),Needs to be ordered from within the EU to pass customs. If you live outside the EU you should look at local providers or on aliexpress
Kailh Low Profile Choc hotswap sockets,7.82€ for 90 pieces,74,Free,7.82€,https://www.aliexpress.com/item/1005011893351142.html?spm=a2g0o.productlist.main.20.799300h000h08H&algo_pvid=3ed31f2b-68fe-441b-8d77-a491477a4d1e&algo_exp_id=3ed31f2b-68fe-441b-8d77-a491477a4d1e-19&pdp_ext_f=%7B%22order%22%3A%2213%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%212.21%210.87%21%21%2116.92%216.67%21%402103894417816348652316185eb3fb%2112000056929014932%21sea%21FI%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab451bb2c%3Bm03_new_user%3A-29895%3BpisId%3A5000000206890820&curPageLogUid=nRsxJkAXhesI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011893351142%7C_p_origin_prod%3A,
PCB,16.36€ for 5 pcs,1 needed but is 5 minimum order amount.,22.51€ + 9.92€ (Customs and taxes),48.79€,https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006,Used europacket as the shipping option because they handle the taxes and it was the cheapest option.
M2x8mm screws,0.86€ for 100 pcs,4,Free,0.86€,https://www.aliexpress.com/item/1005006995421098.html?spm=a2g0o.productlist.main.2.57264ed6EljEJ5&algo_pvid=026d2a42-6c71-4858-96d8-406083879f60&algo_exp_id=026d2a42-6c71-4858-96d8-406083879f60-1&pdp_ext_f=%7B%22order%22%3A%2222176%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006995421098%22%2C%22orig_item_id%22%3A%221005006674812661%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%214.63%210.86%21%21%2136.22%216.66%21%402103956b17767083060128755e3ad9%2112000038985462862%21sea%21FI%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2599385b%3Bm03_new_user%3A-29895%3BpisId%3A5000000205009259&curPageLogUid=HEtOGF0Rf2DI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006995421098%7C_p_origin_prod%3A1005006674812661#nav-specification,
M2 3mm OD L 3mm heated inserts,1.23€ for 30 pcs,4,Free,1.23€,https://www.aliexpress.com/item/1005006071488810.html?spm=a2g0o.productlist.main.4.3d84TPXMTPXMy9&aem_p4p_detail=202606081050152534281587616560004055138&algo_pvid=06543870-17ef-47a2-afb1-9c8174047a0e&algo_exp_id=06543870-17ef-47a2-afb1-9c8174047a0e-3&pdp_ext_f=%7B%22order%22%3A%2222568%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%212.84%211.82%21%21%2121.70%2113.93%21%40211b80d117809410151605687ea277%2112000035595774900%21sea%21FI%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab451bb2c%3Bm03_new_user%3A-29895%3BpisId%3A5000000207307501&curPageLogUid=m7Avo8Kp89dD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006071488810%7C_p_origin_prod%3A&search_p4p_id=202606081050152534281587616560004055138_1,
SOD-123 diodes,1.43€ for 100pcs,74,Free,1.43€,https://www.aliexpress.com/item/1005007536719404.html?spm=a2g0o.productlist.main.2.7a4f7cffMh3WoE&algo_pvid=ce6776f4-195e-458e-a30a-b94edfc8714d&algo_exp_id=ce6776f4-195e-458e-a30a-b94edfc8714d-1&pdp_ext_f=%7B%22order%22%3A%2294%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.87%211.43%21%21%2114.28%2110.91%21%40210385db17816331963967914e2c50%2112000041199095476%21sea%21FI%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab451bb2c%3Bm03_new_user%3A-29895%3BpisId%3A5000000207307454&curPageLogUid=43hY8FWrAoHt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007536719404%7C_p_origin_prod%3A,
Kailh choc 1350 V1 A keycaps,22.99€ for 90 pcs,74,Free,25.73€,https://www.aliexpress.com/item/1005009262759706.html?spm=a2g0o.productlist.main.34.2b272264TTHKbg&algo_pvid=d5ef2f18-90d5-413f-95b3-76c1146a87f9&algo_exp_id=d5ef2f18-90d5-413f-95b3-76c1146a87f9-33&pdp_ext_f=%7B%22order%22%3A%22207%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2127.60%2119.32%21%21%21211.53%21148.07%21%40211b6c1717816979752355472ea7cb%2112000048523171763%21sea%21FI%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2599385b%3Bm03_new_user%3A-29895&curPageLogUid=vcYL3e40gH5n&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009262759706%7C_p_origin_prod%3A,
4pcs anti-slip black rubber feet,0.87€ for 4pcs,8,Free,1.74€,https://www.aliexpress.com/item/1005007438396940.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.4.d2f1TEEKTEEKp1&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=88a60b80-e045-479f-a4ac-5c6461aae76d&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A88a60b80-e045-479f-a4ac-5c6461aae76d%2Ctpp_buckets%3A668%232846%238112%231997&pdp_ext_f=%7B%22order%22%3A%22241%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%213.13%210.87%21%21%213.55%210.99%21%4021039eb717816998437457301e1070%2112000040757551361%21rec%21FI%21%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2599385b%3Bm03_new_user%3A-29895%3BpisId%3A5000000206890820&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005007438396940%7C_p_origin_prod%3A,The purchase limit is 4 per person but you can order them from here as well. https://www.aliexpress.com/item/1005012156552297.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.5b58Bw5aBw5ah1&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=71c29dbd-aaa5-4402-bb88-11750e2b4b5c&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A71c29dbd-aaa5-4402-bb88-11750e2b4b5c%2Ctpp_buckets%3A668%232846%238107%231934&pdp_ext_f=%7B%22order%22%3A%2219%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%215.52%210.87%21%21%2142.27%216.61%21%400b88489f17817021059395667e0e27%2112000057655264656%21rec%21FI%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A2599385b%3Bm03_new_user%3A-29895%3BpisId%3A5000000206890820&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005012156552297%7C_p_origin_prod%3A . They are the same.
